vehicle_reg_no,transaction_date_time,lane_direction,toll_plaza_name,toll_plaza_geocode
MH04KU7450,2025-04-21 22:18:08.000,N,Bhagan Toll Plaza,"29.071744,77.0601904"
MH04KU7450,2025-04-23 22:21:55.000,S,Gharonda Toll Plaza,"29.582281,76.978398"
MH04KU7450,2025-04-23 20:14:22.000,S,Ghagghar Toll Plaza,"30.403876,76.736573"
MH04KU7450,2025-04-21 23:23:04.000,N,Gharonda Toll Plaza,"29.582281,76.978398"
MH04KU7450,2025-04-24 07:41:08.000,S,Bhagan Toll Plaza,"29.071744,77.0601904"
MH04KU7450,2025-04-21 23:00:25.000,S,L&T PANIPAT,"29.433664,76.97014"
MH04KU7450,2025-04-22 17:14:17.000,S,Ambala Chandigarh,"30.527449,76.813037"
MH04KU7450,2025-04-23 22:44:07.000,N,L&T PANIPAT,"29.433664,76.97014"
MH04KU7450,2025-04-24 14:13:28.000,N,Bhiwadi Toll,"28.174303, 76.824531"
MH04KU7450,2025-04-23 15:47:26.000,N,Dharer Azizpur Toll Plaza,"30.5938815,76.7600168"
MH04KU7450,2025-04-21 21:49:26.000,S,Kundali,"28.911104,77.025054"
MH04KU7450,2025-04-24 10:02:05.000,S,MANESHAR-7A,"28.326367,76.890515"
MH04KU7450,2025-04-21 15:34:23.000,S,MANESHAR-7B,"28.310995,76.895142"
MH04KU7450,2025-04-20 10:49:09.000,N,Balapura Toll Plaza,"25.061419,76.03817"
MH04LY6741,2025-04-24 13:03:27.000,N,Halol Toll Plaza,"22.489873, 73.465586"
MH04LY6741,2025-04-24 12:15:42.000,N,Vadodra Toll Plaza,"22.353256, 73.236924"
MH04LY6741,2025-04-23 02:44:34.000,S,Mulund(EEH),"19.1534,72.9657"
MH04LY6741,2025-04-24 07:21:40.000,E,Choryasi Toll Plaza,"21.303367,72.95418"
MH04LY6741,2025-04-23 22:05:42.000,N,Achhad Border Checkpost,"20.07538,72.913338"
MH04LY6741,2025-04-24 14:24:13.000,S,HSTL TP01- Khadki,"22.6479969,73.5197764"
MH04LY6741,2025-04-24 06:17:37.000,N,Boriach Toll Plaza,"20.885548,73.052162"
MH04LY6741,2025-04-23 21:24:59.000,N,Charoti Toll Plaza,"19.890544,72.942644"
MH04LY6741,2025-04-23 23:02:57.000,N,Bhagwada Toll Plaza,"20.43495,72.917204"
MH04LY6741,2025-04-24 08:23:25.000,N,Mandva Toll Plaza,"21.7016001,73.0609234"
MH04LY6741,2025-04-24 11:14:41.000,N,L&T Vadodra,"22.015027,73.115049"
MH04LY6741,2025-04-23 19:56:13.000,N,Khaniwade Toll Plaza,"19.519667,72.916898"
MH04LY6741,2025-04-20 10:02:44.000,S,Chechat Toll Plaza,"24.7594444, 75.90869444"
TN36BS6853,2025-04-24 04:44:10.000,W,Omalur Toll Plaza,"11.72034,78.07338"
TN36BS6853,2025-04-24 15:40:02.000,E,Omalur Toll Plaza,"11.72034,78.07338"
TN36BS6853,2025-04-24 03:52:46.000,W,Mettupatti Plaza,"11.661687,78.330731"
TN36BS6853,2025-04-22 13:59:56.000,S,Kallakudi Toll plaza,"10.996960, 78.967090"
TN36BS7592,2025-04-22 19:09:30.000,E,Paniyankara Toll Plaza,"10.590814,76.458274"
TN36BS7592,2025-04-22 21:35:55.000,E,Pollachi Salem Toll Plaza,"10.921531,76.989327"
TN36BS7592,2025-04-22 22:00:08.000,E,Trichy Salem,"11.012859,77.073174"
TN36BS7592,2025-04-22 20:51:23.000,S,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
TN36BS7592,2025-04-22 21:23:14.000,E,Madukkarai,"10.895638,76.945815"
TN36BS7592,2025-04-22 21:54:04.000,E,Trichy Cochin,"11.005088,77.069038"
TN36BS7592,2025-04-22 18:08:02.000,N,Paliyekkara Toll plaza ,"10.442916,76.260181"
TN36BS7592,2025-04-22 22:09:00.000,E,Neelambur,"11.060944,77.088928"
TN36BS7592,2025-04-22 22:19:17.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
TN36BS7592,2025-04-22 23:29:53.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
TN36BS7592,2025-04-23 14:01:28.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
TN36BS7592,2025-04-23 17:45:15.000,S,Vaniyambadi Toll Plaza,"12.648554,78.5833"
TN36BS7592,2025-04-23 18:46:15.000,N,Pallikonda Toll Plaza,"12.905829,78.951686"
TN36BS7592,2025-04-23 21:58:27.000,N,SriPerumbadur,"12.982155,79.968944"
TN36BS7592,2025-04-23 22:38:41.000,N,Palavedu,"13.140047,80.0530363"
TN36BS7592,2025-04-23 22:27:30.000,N,Kolappancheri,"13.070524,80.071587"
TN36BS7592,2025-04-23 20:20:36.000,S,Chennasamaduram Toll Plaza,"12.910943,79.40121"
TN36BS7592,2025-04-23 23:04:00.000,N,Nallur Toll Plaza,"13.216958,80.169353"
TN36BV0387,2025-04-22 08:37:16.000,E,Pollachi Cochin Toll Plaza,"10.914016,76.982178"
TN36BV0387,2025-04-22 07:37:35.000,S,PamPamPallam Toll Plaza,"10.8131538,76.7957998"
TN36BV0387,2025-04-22 09:09:56.000,E,Trichy Cochin,"11.005088,77.069038"
TN36BV0387,2025-04-22 08:29:22.000,E,Madukkarai,"10.895638,76.945815"
TN36BV0387,2025-04-22 08:49:01.000,E,Pollachi Salem Toll Plaza,"10.921531,76.989327"
TN36BV0387,2025-04-22 14:44:13.000,E,IVRCL Chengapally Tollways Li,"11.012852,77.073167"
TN36BV0387,2025-04-22 15:42:48.000,E,Vijayamangalam Toll Plaza,"11.245714,77.519702"
TN36BV0387,2025-04-24 04:21:45.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
TN36BV0387,2025-04-24 06:33:37.000,S,Vaniyambadi Toll Plaza,"12.648554,78.5833"
TN36BV0387,2025-04-24 07:40:21.000,N,Pallikonda Toll Plaza,"12.905829,78.951686"
TN36BV0387,2025-04-24 12:07:45.000,S,Pattarai Toll Plaza,"13.150829,79.834687"
MH04JU7624,2025-04-23 14:07:11.000,N,Mulund(EEH),"19.1534,72.9657"
MH04JU7624,2025-04-23 07:32:42.000,S,Mulund(EEH),"19.1534,72.9657"
MH04JU7624,2025-04-23 03:44:33.000,S,Dahisar,"19.2587,72.8718"
MH04JU7624,2025-04-24 00:36:09.000,N,Dahisar,"19.2587,72.8718"
MH04JU7624,2025-04-24 12:21:17.000,E,Choryasi Toll Plaza,"21.303367,72.95418"
MH04JU7624,2025-04-22 20:58:25.000,W,Choryasi Toll Plaza,"21.303367,72.95418"
MH04JU7624,2025-04-22 06:59:18.000,E,Bakrol Toll Plaza,"22.935230, 72.519760"
MH04JU7624,2025-04-22 14:12:53.000,W,Bakrol Toll Plaza,"22.935230, 72.519760"
MH04JU7624,2025-04-22 16:01:30.000,N,Kheda,"22.715938,72.740905"
MH04JU7624,2025-04-22 16:49:45.000,N,Vasad,"22.453302,73.070523"
MH04JU7624,2025-04-24 11:20:42.000,N,Boriach Toll Plaza,"20.885548,73.052162"
MH04JU7624,2025-04-22 22:08:25.000,S,Boriach Toll Plaza,"20.885548,73.052162"
MH04JU7624,2025-04-23 01:42:38.000,S,Charoti Toll Plaza,"19.890544,72.942644"
MH04JU7624,2025-04-24 08:23:19.000,N,Charoti Toll Plaza,"19.890544,72.942644"
MH04JU7624,2025-04-24 10:13:00.000,N,Bhagwada Toll Plaza,"20.43495,72.917204"
MH04JU7624,2025-04-22 23:30:48.000,S,Bhagwada Toll Plaza,"20.43495,72.917204"
