vehicle_reg_no,transaction_date_time,lane_direction,toll_plaza_name,toll_plaza_geocode
MP04HE3193,2025-05-13 14:03:29.000,N,Vishankheda Toll Plaza,"23.022194,77.570611"
MP04HE3193,2025-05-13 07:22:42.000,S,Dewas By pass Toll Plaza,"22.929,76.0463"
MP04HE3193,2025-05-13 07:52:09.000,N,Bhourasa Toll Plaza,"22.9751708,76.2184202"
MP04HE3193,2025-05-13 09:27:27.000,N,Amlaha toll plaza,"23.1021426,76.875811"
MP04HE3193,2025-05-13 10:24:46.000,N,Fanda toll plaza,"23.2245025,77.1907789"
MP04HE3193,2025-05-13 15:36:19.000,S,Bagwada Fee Plaza,"22.781523,77.733774"
MP04HE3193,2025-05-13 10:44:55.000,S,Mubarakpur Toll Plaza,"23.310689,77.319815"
MP04HE3193,2025-05-13 13:31:57.000,S,11 miles Toll Plaza,"23.1415030,77.4854990"
MP04HE3193,2025-05-13 13:31:54.000,S,11 miles Toll Plaza,"23.1415030,77.4854990"
MH43BP3409,2025-05-10 06:02:55.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
NL01AG5593,2025-05-10 06:31:02.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
TN12AH8507,2025-05-10 07:08:13.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
TN88H8227,2025-05-10 07:39:44.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
MH48CQ6526,2025-05-13 13:58:43.000,W,Choryasi Toll Plaza,"21.303367,72.95418"
GJ12BZ3113,2025-05-13 14:37:52.000,E,Chaudhariwas,"28.9974934,75.6043331"
GJ12BZ3113,2025-05-13 11:35:34.000,E,Badopatti,"29.298647,75.8199341"
KA566430,2025-05-13 11:59:44.000,N,Talmod Toll Plaza,"17.8261927,76.7398762"
KA566430,2025-05-13 11:49:46.000,S,Omerga Border Checkpost,"17.495067,76.462114"
UP42BT2051,2025-05-10 08:29:49.000,E,Belsari,"25.6376960, 83.8398360"
HR55AV2827,2025-05-13 10:44:20.000,N,Kherki Daula Toll Plaza,"28.395604,76.98176"
MH04KF7384,2025-05-10 08:38:20.000,E,Belsari,"25.6376960, 83.8398360"
MH04LQ2409,2025-05-13 09:44:30.000,S,IDTL Toll Plaza-B,"22.959586,76.084165"
MH04LQ2409,2025-05-10 04:14:05.000,S,11 miles Toll Plaza,"23.1415030,77.4854990"
MH43BG3118,2025-05-10 10:03:14.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
TN05CC2327,2025-05-10 10:35:52.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
UP16HT4914,2025-05-10 09:00:50.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
UP16HT4914,2025-05-13 15:13:11.000,W,Omalur Toll Plaza,"11.72034,78.07338"
UP16HT4914,2025-05-13 16:06:27.000,S,L&T Krishnagiri Thopur Toll P,"12.00638,78.08008"
UP16HT4914,2025-05-13 14:16:06.000,E,Vaiguntham Toll Plaza,"11.513282,77.923946"
TN28BF2084,2025-05-10 10:40:29.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
TN28BH6941,2025-05-10 10:41:01.000,S,Kamthana Toll Plaza,"17.845891,77.448414"
KA51AF6228,2025-05-10 11:17:13.000,N,Kamthana Toll Plaza,"17.845891,77.448414"
