reg_no,length,owner_uuid
RJ52GA6873,32 Ft XXL,3509917328
HR55X9707,32 Ft XL,399978
KA21A3878,32 Ft XL,1930959888
PB03AX6259,24 Ft XXL,3759408665
TG07T5462,32 Ft XXL Ft XXL,2520815654
PB13AR8186,32 Ft XXL,1.27493E+18
TS08H1900,32 Ft XL,2577326051
BR02GC8382,30 Ft DXL Ft DXL,3401821785
KA592574,22 Ft XL,3093596430
TS07UN4003,32 Ft XXL Ft XXL,3829683448
HR68B6357,32 Ft XL,2838899538
DL1LAC4676,14 Ft XL,3035691761
WB23D4342,32 Ft XXL,1.36388E+18
TN52AA2210,32 Ft XL,1.29705E+18
HR38AA8238,32 Ft XL,2275596032
TN12AS6053,22 Ft XL,105402506
NL01AA9427,32 Ft XL,4112769211
TS15UA4030,32 Ft XXL Ft XXL,353942511
NL01AB1846,32 Ft XL Ft XL,4080246702
TS07UN4013,32 Ft XXL Ft XXL,3829683448
HR37E0515,30 Ft DXL Ft DXL,3836262919
RJ32GB9197,32 Ft XXL,1790840599
DD01S9239,32 Ft XXL Ft XXL,2058138931
HR55T6817,32 Ft XXL,3234395569
NL01AF1107,32 Ft XL,3194110022
TN16H0452,32 Ft XXL,1271043962
TS08UF8547,32 Ft XXL,1844971933
HR66B1663,32 Ft XL,2293979963
HR55AF7381,32 Ft XXL,267942975
RJ27GE1077,32 Ft XXL,744933130
TN88W6759,32 Ft XXL,1.38589E+18
RJ27GE0377,32 Ft XXL,744933130
NL01AJ3722,22 Ft XL,3731347356
TN87C2948,32 Ft XXL,1.40032E+18
TG12T3699,32 Ft XXL Ft XXL,1617854670
PB65BE8608,30 Ft DXL Ft DXL,3518046265
TS07UG0849,32 Ft XXL Ft XXL,1617854670
HR65A0746,30 Ft DXL Ft DXL,3401821785
HR55AL9402,22 Ft XL,1.30944E+18
KA51AA1182,32 Ft XL,1844041512
UP17AT1476,32 Ft XXL,61109253
TN52AA3777,32 Ft XXL,153147850
RJ14GJ7318,32 Ft XXL Ft XXL,2050215225
NL01Q4066,32 Ft XL,1.27493E+18
GJ06BX3350,32 Ft XL Ft XL,2420304504
BR02GA7500,30 Ft DXL Ft DXL,3401821785
UP86T3727,32 Ft XXL,4112769211
TN28BH6926,32 Ft XXL,1544923054
UP78CN9904,32 Ft XXL,2351531909
TG07U3364,32 Ft XXL Ft XXL,3829683448
MH25AJ4132,30 Ft DXL Ft DXL,3954209148
BR02GA7733,30 Ft DXL Ft DXL,3401821785
HR55AR0966,20 Ft XL,1925328465
KA51AG3798,22 Ft XL,1861644730
UP32DN8468,32 Ft XL,833222234
HR38V6512,32 Ft XL Ft XL,1.27493E+18
HR38W2220,22 Ft XL,1.27493E+18
MH04KF0350,20 Ft XL,1.27493E+18
HR38AB6135,32 Ft XL,2770325237
TN12AM9097,20 Ft XL Ft XL,1611377335
UP21CN5492,32 Ft XXL,858989680
PB13AR0691,32 Ft XXL,1.27493E+18
HR55AV1417,22 Ft XL,643629355
TN37DW7016,32 Ft XXL,1.2761E+18
RJ27GE0977,32 Ft XXL,744933130
TS08UF8456,32 Ft XXL,1844971933
KA566992,32 Ft XXL Ft XXL,3253201229
TS12UD5894,20 Ft XL Ft XL,2620832079
RJ32GC7561,32 Ft XL,1.27493E+18
RJ32GC4077,24 Ft XXL,860143842
TN25BJ4411,22 Ft XL,4121506616
KA01AL9990,32 Ft XL,1.30614E+18
KA52B0030,22 Ft XL,1272545252
NL02Q5978,32 Ft XXL,1.37788E+18
HR38W4761,32 Ft XXL,629263962
NL01AD7703,32 Ft XL,3779671859
TN52J8262,32 Ft XXL,1.35512E+18
TN30BL9306,32 Ft XXL,3291590255
KA51AF2844,32 Ft XL,3836686102
MH12RN0719,32 Ft XL,3769288587
TN39DC9322,32 Ft XXL,1.41779E+18
UP21BN9336,32 Ft XXL,1.34209E+18
HR67B6789,32 Ft XL,1810258494
NL01AE1885,32 Ft XL,4112769211
HR38R0944,32 Ft XXL,1.27493E+18
HR38AB2762,32 Ft XL,3234021392
TN56K7624,32 Ft XXL,142368145
PB11DE9698,30 Ft DXL Ft DXL,3364769651
TN52L7782,32 Ft XL,626256173
KA51A2032,32 Ft XXL,2086562521
HR65A6221,30 Ft DXL Ft DXL,3401821785
TS12UD0966,32 Ft XXL Ft XXL,909316974
HR55Y6247,32 Ft XXXL,752833987
HR68A8296,32 Ft XL,2838899538
HR61D3602,32 Ft XXL,2072286350
TS07UM4713,32 Ft XXL Ft XXL,3952074745
TG07T7302,32 Ft XXL Ft XXL,1473433051
TS08UB2978,32 Ft XXL Ft XXL,3253201229
NL01AJ1728,32 Ft XL,3155944960
HR55AK2794,22 Ft XL,818100544
TS08UH7219,32 Ft XXL,4120447629
HR55AK5449,22 Ft XL,818100544
TG12T0310,32 Ft XXL Ft XXL,1473433051
TG12T3899,32 Ft XXL Ft XXL,1617854670
HR55AA0578,32 Ft XL,481817470
HR55AK5776,22 Ft XL,818100544
TN56K1795,32 Ft XL,1933192693
HR55AF7077,32 Ft XXL,1.34095E+18
HR65A7585,30 Ft DXL Ft DXL,3401821785
RJ14GK3370,32 Ft XL,801926881
TN23CM5969,20 Ft XL,518437913
RJ11GC4196,30 Ft DXL Ft DXL,1912589015
TG07T5470,32 Ft XXL Ft XXL,363642820
TS08UJ1477,22 Ft XL Ft XL,546491409
NL01AG4328,32 Ft XL Ft XL,882410277
MH04KF7385,32 Ft XL,1647748010
TN39CQ0735,32 Ft XXL,1.36994E+18
MH04LY8955,32 Ft XL Ft XL,3294551141
TG07T5472,32 Ft XXL Ft XXL,363642820
PB65AK6633,32 Ft DXL,3504217824
TN39CE3349,32 Ft XXL,3676358555
RJ14GN7188,32 Ft XL,2005079660
TN10S6788,32 Ft XXL,2388300404
TS07UK5091,32 Ft XXL Ft XXL,3829683448
NL01AE7021,32 Ft XXL,1.29422E+18
TN12AR0218,32 Ft XL,105402506
HR38X8581,32 Ft XL,1874062980
TG07T6305,32 Ft XL Ft XL,1888282069
NL01AH3005,32 Ft XXL Ft XXL,1470590102
WB11E0530,32 Ft XXL,3812551316
UP16HT2497,32 Ft XL,1562663088
HR55AT4596,24 Ft XL Ft XL,20079860
HR55AK3920,14 Ft XL,346024543
HR66B8464,32 Ft XXL,1960149178
NL01AH7641,40 Ft DXL,4255940877
TN34AE6664,32 Ft XXL,4152150427
NL01AJ4435,32 Ft XL Ft XL,2914938575
NL01AF3736,32 Ft XL,1179273343
BR02GA7792,30 Ft DXL Ft DXL,3401821785
MH16CD8699,32 Ft XL Ft XL,2016006778
TG07U3797,20 Ft XL Ft XL,2620832079
UP78CT2767,30 Ft DXL Ft DXL,3836262919
NL01AJ4438,32 Ft XL Ft XL,2914938575
HR55AH0424,32 Ft XL Ft XL,1101147109
TG12T4499,32 Ft XXL Ft XXL,1617854670
RJ52GA7088,32 Ft XXL,1147749398
TS07UG6880,32 Ft XXL Ft XXL,3829683448
TS08UB5212,32 Ft XXL Ft XXL,2520815654
UP50AT9635,30 Ft DXL Ft DXL,3401821785
RJ14GN1806,32 Ft XL,2005079660
KA51AG1242,32 Ft XL,3427338192
UP21BN7216,32 Ft XL,3618715469
RJ53GA0134,32 Ft XL Ft XL,4183151077
UP78HT0897,30 Ft DXL Ft DXL,3836262919
RJ14GL4611,32 Ft XL Ft XL,2904170378
HR55AH5338,32 Ft XXL,267942975
RJ27GE0577,32 Ft XXL,744933130
RJ52GA6454,32 Ft XXL,1.30222E+18
NL01AF5547,34 Ft XL,1065690193
HR68B9404,32 Ft XXL,2838899538
TS08UF8458,32 Ft XXL,1.41812E+18
TN39CP9819,32 Ft XXL,1271043962
TN88H8411,32 Ft XXL,1544923054
NL01Q5621,32 Ft XXL,1115169021
HR55AK2233,22 Ft XL,1.27493E+18
TN72CZ6363,22 Ft XL,223488297
KA51AF6319,22 Ft XL,3299064985
HR69B7949,32 Ft XL,1514143024
PB11BN9776,30 Ft DXL Ft DXL,3364769651
HR55X9454,32 Ft XXL,3739250216
UP78HN2705,30 Ft DXL Ft DXL,3836262919
TN85L9795,22 Ft XL,2008205270
HR55AA0241,32 Ft XXL,1.34387E+18
MH47Y6090,32 Ft XXL,1.27493E+18
TN88D3799,32 Ft XL,1.3945E+18
NL01L5396,32 Ft XXL,1.33853E+18
TS07UG6878,32 Ft XXL Ft XXL,3829683448
PB11CL9155,30 Ft DXL Ft DXL,3364769651
TS08UJ1501,32 Ft XXL,1844971933
NLO1N8906,32 Ft XXL,1368936984
TN88J0564,32 Ft XXL,1544923054
KA01AM1687,22 Ft XL,4186992177
TS07UM9523,32 Ft XXL Ft XXL,2952713405
AP29TC0895,32 Ft XXL Ft XXL,3829683448
TG12T1199,32 Ft XXL Ft XXL,1617854670
TG12T4299,32 Ft XXL Ft XXL,1617854670
TS07UE9851,32 Ft XXL Ft XXL,3829683448
MP09GH5029,32 Ft XL,667083889
TN12AD2773,32 Ft XXL,1974080254
TS08UF8548,32 Ft XXL,1844971933
TN77E0502,32 Ft XXL,1.27493E+18
RJ11GB6958,32 Ft XXL,1.27493E+18
TN04AW3340,32 Ft XXL,1.3322E+18
NL01AB0511,32 Ft XXL Ft XXL,2459640882
HR38AF8071,32 Ft XL,789232929
AS01NC3416,32 Ft XXL Ft XXL,1168052891
TN88V0896,32 Ft XL,1.28559E+18
TN85L9745,22 Ft XL,2008205270
NL01K1687,32 Ft XXL,1.41376E+18
TN54R6683,24 Ft XL,3644340782
TN87B5745,22 Ft XL,1.30361E+18
HR37D4878,30 Ft DXL Ft DXL,3836262919
HR843272,32 Ft XL Ft XL,4289047710
NL01N3410,32 Ft XL,2903670965
TN52F8808,32 Ft XXL,1.27493E+18
PB10JF0376,30 Ft DXL Ft DXL,3364769651
TS07UE8785,32 Ft XL Ft XL,1629773945
TN39CR5024,32 Ft XL,4125775703
TG07U4951,32 Ft XXL Ft XXL,3829683448
HR51AH1388,32 Ft XL,1.32428E+18
RJ32GC1579,32 Ft XL,1.36523E+18
UP81ET7285,30 Ft DXL Ft DXL,2115237033
WB11F4912,32 Ft XL,2726999087
TN58BB8538,22 Ft XL,677962891
HR55AF0207,32 Ft XL,1.36489E+18
HR66A1338,32 Ft XXL,2921031696
HR55AK1046,22 Ft XL,909131034
UP21CN2928,32 Ft XXL,1.34209E+18
KA11C1136,32 Ft XL,1127926498
TN45BF7866,32 Ft XXL,4094944893
MP04GB2486,32 Ft XL,101343703
PB13AR0393,32 Ft XXL,1.27493E+18
TS07UL1920,32 Ft XXL Ft XXL,2520815654
HR55AG9272,32 Ft XL,1.36489E+18
KA51AF1637,32 Ft XL,1029182838
HR55AC1596,32 Ft XXL,1.34095E+18
TS08UF8460,32 Ft XXL,1.41812E+18
MH14JL2340,32 Ft XL,1.27493E+18
NL01AF2257,32 Ft XXL,1.27493E+18
TN12S6117,32 Ft XXL,1844041512
TN24AA9612,22 Ft XL,2013785989
KA01AL4868,32 Ft XXL,1.35482E+18
HR55AF5892,32 Ft XL,1.36489E+18
TN14T6924,32 Ft XXL,1.3135E+18
HR38W6061,32 Ft XL,3234021392
TN88F1512,32 Ft XL,1.31636E+18
HR38AA4277,32 Ft XL,2130581551
NL01AD0094,32 Ft XXL,1.27493E+18
TG12T3984,32 Ft XXL Ft XXL,4142621459
TN72BW8631,22 Ft XL,223488297
TS08UJ1497,32 Ft XXL,1844971933
TN18AP6483,32 Ft XXL,1974080254
HR66A4525,32 Ft XXL,1544018322
MH12KP1213,32 Ft XXL,3140913849
MH04LY3265,32 Ft XL Ft XL,1405150110
TS07UM5072,32 Ft XXL Ft XXL,2904170378
TN03AB5380,22 Ft XL,4141503092
HR38AB6020,32 Ft XL,1.41521E+18
MH20DE5975,32 Ft XXL,1.35108E+18
NL01AE9914,32 Ft XL,1.27493E+18
NL01AD3627,32 Ft XL,4112769211
HR55K8521,32 Ft XL,818100544
RJ32GC7312,32 Ft XL,4044411169
RJ49GA1575,32 Ft XL,3731347356
RJ36GA4026,32 Ft XXXL,2965646154
TN28BJ5059,32 Ft XXL,3667459581
MH23AU7723,32 Ft XXL Ft XXL,2146453401
RJ32GC5910,32 Ft XXL,4015093222
HR63C0398,32 Ft XXXL,3298444839
TN88L4549,32 Ft XXL Ft XXL,1819315005
TN34L9279,32 Ft XXL,2451833745
CH01TB4969,32 Ft XXL,2838899538
HR68B3799,32 Ft XXL,2838899538
RJ11GB9360,32 Ft XXL,795144702
WB23G6249,32 Ft XXL,3281644032
HR38AA0809,32 Ft XL,2179918673
HR38AD9456,32 Ft XL,3117296538
TS12UE1899,32 Ft XXL Ft XXL,1617854670
RJ14GJ6652,32 Ft XXL,949164914
HR46F6704,32 Ft XL,2992844829
TN52CA1786,22 Ft XL,1781976731
UP21CN2336,32 Ft XXL,1.27493E+18
MH43Y9916,32 Ft XL,1051866713
RJ06GC7702,32 Ft XXL,1721946921
MH46BU3378,32 Ft XXL Ft XXL,855402536
RJ07GC8262,32 Ft XXXL,1643721638
UP58T7568,30 Ft DXL Ft DXL,2115237033
HR55AK7594,32 Ft XXL,1.27493E+18
HR55AV0561,22 Ft XL Ft XL,1843032663
